(460465, 76907),
(460465, 8000),
(460465, 12),
(460465, 174),
(460465, 2806),
(460465, 13033),
(399566, 174),
(399566, 923),
(615457, 33),
(615457, 121470),
(615457, 86647),
(615457, 123230),
(791373, 174),
(791373, 114152),
(791373, 507),
(791373, 9993),
(791373, 103376),
(791373, 444),
(791373, 128064),
(791373, 429),
(559581, 106786),
(559581, 75355),
(559581, 20037),
(559581, 151756),
(559581, 94107),
(559581, 107513),
(559581, 100870),
(559581, 11341),
(559581, 12142),
(522241, 92346),
(522241, 84988),
(522241, 7493),
(590223, 2575),
(590223, 96540),
(590223, 746),
(590223, 13785),
(590223, 4),
(634528, 80292),
(634528, 5357),
(634528, 145068),
(634528, 94694),
(634528, 145546),
(634528, 145547),
(634528, 6626),
(634528, 10427),
(634528, 137972),
(615678, 2527),
(615678, 87017),
(581734, 114776),
(581734, 114777),
(581734, 96168),
